embedding,chunk,article,law
"frozenset({0, 10243, 65541, 16394, 10251, 35339, 19999, 10785, 10275, 21028, 24100, 47141, 41005, 22068, 12346, 10307, 79430, 10839, 55897, 79963, 15966, 10335, 101, 102, 14952, 25196, 10352, 10354, 117, 119, 36476, 21630, 10375, 10378, 11919, 67227, 42142, 13473, 10402, 168, 170, 96429, 20141, 18101, 33979, 27341, 14543, 10459, 43756, 13563, 73986, 11017, 10532, 28453, 16690, 82742, 14138, 25424, 14163, 80227, 12138, 11633, 22899, 12161, 27522, 10116, 93064, 10128, 10132, 49048, 10687, 20424, 17355, 57304, 49119, 11236, 20463, 24567, 10237})","Krivični zakonik | Ratni zločin protiv civilnog stano vništva | Ko kršeći pravila međunarodnog prava za vreme rata, oružanog sukoba ili okupacije naredi smanjenje vrednosti domaćeg novca ili protivpravno izdavanje novca ili ko izvrši neko od navedenih dela, kazniće se zatvorom najmanje pet godina.",Član 372  ,Krivični zakonik
"frozenset({0, 11266, 12291, 10243, 65541, 16394, 10251, 82446, 38935, 11290, 16928, 27170, 10275, 21028, 24100, 22068, 12346, 10305, 10307, 79430, 13386, 10317, 12883, 10839, 13912, 20056, 16471, 79963, 10330, 15966, 10335, 16996, 101, 102, 14952, 25196, 10352, 10354, 117, 119, 122, 36476, 131, 132, 47237, 66182, 10375, 11396, 10378, 55446, 151, 36505, 155, 42142, 13473, 164, 10404, 168, 170, 10416, 18101, 33979, 10434, 14543, 69839, 52946, 13017, 10459, 20192, 13541, 39142, 69351, 35573, 13563, 40188, 73986, 11017, 24852, 10532, 28453, 35632, 82742, 14138, 52539, 31547, 30028, 25424, 21841, 14163, 25941, 25442, 14695, 11633, 55670, 10105, 10111, 10112, 60288, 12161, 27522, 10116, 17793, 93064, 15754, 74635, 13199, 10128, 17298, 10132, 10135, 38298, 38811, 62364, 10141, 21918, 13211, 10150, 41896, 37293, 79796, 10687, 62918, 20424, 10698, 17355, 10192, 57304, 49119, 11747, 11236, 91107, 55273, 10220, 88044, 20463, 73205, 24567, 12282, 10747, 10237, 63487})","Krivični zakonik | Ratni zločin protiv civilnog stano vništva | Kaznom iz stava 1. ovog člana kazniće se i ko, kršeći pravila međunarodnog prava za v reme rata, oružanog sukoba ili okupacije, naredi: da se izvrši napad na objekte posebno zaštićene međunarodnim pravom i objekte i postrojenja sa opasnom snagom kao što su brane, nasipi i nuklearne elektrane; da se gađaju civilni objekti koji su pod posebno m zaštitom međunarodnog prava, nebranjena mesta i demilitarizovane zone; dugotrajno i velikih razmera oštećenje životne sredine koje može da šteti zdravlju ili opstanku stanovništva ili ko izvrši neko od navedenih dela. ",Član 372  ,Krivični zakonik
"frozenset({0, 12161, 27522, 12674, 73986, 10375, 93064, 11017, 16394, 10251, 60940, 38413, 10128, 10132, 49048, 12314, 67227, 10141, 13473, 10785, 10275, 21028, 24100, 168, 170, 10154, 41005, 16690, 22068, 49718, 17207, 12346, 33979, 14138, 10687, 11259, 20424, 17355, 27341, 14543, 35922, 14163, 12883, 11218, 10839, 11992, 57304, 55897, 79963, 10459, 12504, 15966, 49119, 38753, 11236, 101, 102, 12138, 25196, 10352, 11633, 10354, 117, 119, 28920, 13563, 36476, 10237})","Krivični zakonik | Ratni zločin protiv civilnog stano vništva | Ko za vreme rata, oružanog suko ba ili okupacije naredi da se prema civilnom stanovništvu vrše ubistva ili ko takvo delo izvrši, kazniće se zatvorom najmanje deset godina ili doživotnim zatvorom. ",Član 372  ,Krivični zakonik
"frozenset({0, 12161, 27522, 73986, 56705, 65541, 10375, 93064, 11017, 16394, 10251, 10128, 34067, 10132, 10774, 10135, 49048, 11290, 42142, 13473, 10785, 10275, 21028, 24100, 10532, 28453, 168, 170, 37932, 41005, 63790, 20141, 16690, 22068, 12346, 33979, 14138, 10687, 20424, 17355, 27341, 14543, 25424, 14163, 85843, 79061, 10839, 57304, 55897, 119, 79963, 10459, 15966, 10335, 49119, 38753, 11236, 101, 102, 14695, 14952, 73064, 12138, 25196, 10352, 11633, 10354, 117, 24567, 13563, 36476, 10237})","Krivični zakonik | Ratni zločin protiv civilnog stano vništva | Ko, kršeći pravila međunarodnog prava za vreme rata, oružanog sukoba ili okupacije, kao okupator, naredi ili izvrši preseljenje delova svog civilnog stanovništva na okupiranu teritoriju, kazniće se zatvorom najmanje pet godina. ",Član 372  ,Krivični zakonik
"frozenset({10112, 12161, 73986, 0, 10116, 10375, 11017, 16394, 10128, 17298, 10132, 151, 10785, 10275, 21028, 24100, 10532, 168, 170, 10154, 20141, 16690, 22068, 18101, 12346, 33979, 10687, 33090, 10307, 20424, 27341, 14543, 14163, 10836, 10839, 57304, 55897, 17626, 79963, 15966, 10976, 11236, 101, 39142, 32103, 102, 23531, 11633, 117, 119, 122, 123, 43516, 10237, 15230})","Krivični zakonik | Ratni zločin protiv civilnog stano vništva | Ko preti izvršenjem jednog ili više dela iz st. 1. i 2. ovog člana, kazniće se zatvorom od šest meseci do pet godina. ",Član 372  ,Krivični zakonik
"frozenset({0, 66049, 10243, 65541, 16394, 10251, 60940, 18457, 42527, 16928, 10785, 10275, 21028, 24100, 74788, 16935, 10281, 10282, 41005, 14381, 22068, 56374, 49718, 10305, 58434, 63554, 10307, 79430, 23624, 20041, 14412, 16462, 16471, 10839, 55897, 15966, 10335, 17505, 101, 102, 14952, 16491, 25196, 10352, 113, 114, 10354, 117, 10358, 119, 122, 123, 36476, 10366, 16002, 30854, 10375, 10378, 21643, 10380, 10390, 151, 31896, 20123, 67227, 42142, 26270, 13473, 62114, 163, 15012, 16549, 161, 168, 170, 13995, 20141, 10415, 18609, 10418, 10419, 18101, 33979, 31426, 10434, 27341, 14543, 29393, 25814, 11992, 12504, 10459, 96476, 20192, 35573, 14070, 15608, 28920, 13563, 40188, 12541, 14080, 73986, 16133, 23303, 11017, 41742, 58129, 33044, 10532, 28453, 43308, 65839, 16690, 25397, 82742, 17207, 14138, 49982, 30015, 21314, 11259, 15695, 25424, 22864, 47954, 12115, 44373, 84823, 17240, 60768, 38753, 71529, 12138, 81262, 15228, 10112, 12161, 27522, 12674, 93064, 10128, 26008, 49048, 13211, 10141, 78755, 35749, 10150, 10154, 13228, 10687, 28098, 17355, 50129, 12241, 29139, 13268, 11218, 57304, 10206, 49119, 11236, 55273, 75754, 21483, 20463, 38385, 24567, 53243, 10237})","Krivični zakonik | Ratni zločin protiv ranjenika i bolesnika | (1) Ko, kršeći pravila međunarodnog prava za vreme rata ili oružanog sukoba, naredi da se prema ranjenicima, bolesnicima, brodolomnicima ili sanitetskom ili verskom osoblju vrše telesne povrede, mučenja, nečovečna postupanja, biološki, medicinski ili drugi naučni eksperimenti, uzimanje tkiva ili organa radi transplantacije ili druge radnje kojima se narušava zdravlje ili nanose velike patnje ili naredi protivzakonito uništavanje ili prisvajanje u velikim razmerama materijala, sredstava sanitetskog transporta i zaliha sanitetskih ustanova ili jedinica koje nije opravdano vojnim potrebama ili ko izvrši neko od navedenih dela, kazniće se zatvorom najmanje pet godina. (2) Ko za vreme rata, oružanog s ukoba ili okupacije naredi da se prema ranjenicima i bolesnicima vrše ubistva ili ko takvo delo izvrši, kazniće se zatvorom najmanje deset godina ili doživotnim zatvorom. ",Član 373  ,Krivični zakonik
"frozenset({0, 66049, 10243, 65541, 16394, 60940, 18457, 42527, 16928, 10785, 10275, 21028, 24100, 16935, 10282, 22068, 49718, 52284, 32316, 51265, 58434, 10307, 79430, 23624, 20041, 56911, 10839, 10329, 55897, 15966, 10335, 17505, 101, 102, 14952, 26218, 16491, 25196, 10352, 113, 114, 18036, 117, 10358, 119, 122, 123, 76421, 30854, 10375, 10378, 10380, 147, 28820, 151, 31896, 67227, 26270, 13473, 62114, 163, 161, 16549, 168, 170, 20141, 10415, 18101, 33979, 31426, 10434, 52932, 27341, 14543, 29393, 11992, 12504, 10459, 96476, 10976, 13026, 19172, 35573, 15608, 28920, 73986, 23303, 11017, 41742, 10532, 83754, 16690, 62260, 25397, 82742, 17207, 30015, 21314, 53575, 25424, 22864, 12115, 84823, 17240, 38753, 71529, 12138, 15228, 10112, 12161, 12674, 10115, 10128, 10135, 26008, 49048, 10141, 35749, 10149, 10150, 12714, 13227, 10154, 10159, 10164, 10687, 11199, 42951, 10192, 50129, 11218, 13268, 57304, 10206, 49119, 45536, 11236, 75754, 20463, 38385, 24567, 11259, 10237})","Krivični zakonik | Ratni zločin protiv ratnih zarobljenika | (1) Ko, kršeći pravila međunarodn og prava, naredi da se prema ratnim zarobljenicima vrše telesne povrede, mučenja, nečovečna postupanja, biološki, medicinski ili drugi naučni eksperimenti, uzimanje tkiva ili organa radi transplantacije ili da se vrše druge radnje kojima se narušava zdravl je ili nanose velike patnje ili naredi prisiljavanje na vršenje službe u oružanim snagama neprijatelja ili lišavanje prava na pravilno i nepristrasno suđenje ili ko izvrši neko od navedenih dela, kazniće se zatvorom najmanje pet godina. (2) Ko naredi da s e prema ratnim zarobljenicima vrše ubistva ili ko takvo delo izvrši, kazniće se zatvorom najmanje deset godina ili doživotnim zatvorom",Član 374  ,Krivični zakonik
"frozenset({0, 11266, 73986, 11017, 16394, 10378, 10250, 10128, 52630, 10135, 151, 79388, 10141, 13600, 10785, 14242, 10402, 21028, 168, 170, 12714, 30764, 24746, 10154, 11820, 27828, 18101, 10425, 33979, 23611, 10687, 89537, 10307, 20038, 14791, 10317, 27341, 14543, 10958, 10839, 41175, 57304, 55897, 10459, 15966, 33631, 10976, 35552, 11236, 101, 39142, 32103, 102, 12138, 117, 119, 10105, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko se sa drugim dogovori da izvrši ne ko od krivičnih dela iz čl. 370. do 374. ovog zakonika, kazniće se zatvorom od tri meseca do tri godine. ",Član 375  ,Krivični zakonik
"frozenset({10112, 0, 11266, 73986, 24200, 11017, 16394, 10378, 10250, 10128, 17298, 52630, 10135, 151, 21147, 79388, 67227, 26270, 38811, 10785, 14242, 21028, 168, 170, 12714, 30764, 20141, 10154, 16690, 18101, 10295, 33979, 10687, 89537, 10307, 20038, 27341, 14543, 10839, 41175, 57304, 55897, 15966, 10976, 11236, 101, 39142, 102, 12138, 10607, 117, 119, 122, 26620, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko organizuje grupu radi vršenja krivičnih dela iz stava 1. ovog člana, kazniće se zatvorom od pet do petnaest godina. ",Član 375  ,Krivični zakonik
"frozenset({10112, 0, 11266, 73986, 11017, 16394, 10378, 10250, 10128, 17298, 52630, 10135, 151, 10136, 49048, 21147, 79388, 67227, 26270, 38811, 10785, 14242, 10147, 21028, 168, 11560, 170, 12714, 30764, 20141, 16690, 35123, 18101, 10295, 33979, 69948, 10687, 89537, 10307, 20038, 27341, 14543, 10839, 41175, 119, 57304, 55897, 15966, 10976, 11236, 101, 39142, 102, 12138, 117, 10999, 122, 26620, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko organizuje organizo vanu kriminalnu grupu radi vršenja krivičnih dela iz stava 1. ovog člana, kazniće se zatvorom od najmanje pet godina. ",Član 375  ,Krivični zakonik
"frozenset({10112, 0, 11266, 73986, 11017, 16394, 10378, 10250, 24847, 10128, 17298, 10135, 151, 38811, 79388, 23328, 10785, 14242, 21028, 168, 93353, 170, 12714, 30764, 10154, 16690, 26937, 33979, 10687, 89537, 10307, 20038, 27341, 14543, 10839, 41175, 57304, 55897, 11741, 15966, 11615, 10976, 34015, 11236, 101, 39142, 102, 12138, 10220, 117, 119, 123, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko postane pripadnik grupe iz stava 2. ovog člana, kazniće se zatvorom od jedne do osam godina. ",Član 375  ,Krivični zakonik
"frozenset({10112, 19457, 11266, 73986, 0, 11017, 16394, 10378, 10250, 24847, 10128, 17298, 147, 10135, 151, 38811, 79388, 23328, 10785, 14242, 21028, 168, 170, 12714, 30764, 10154, 16690, 35123, 26937, 33979, 69948, 10687, 89537, 10307, 20038, 27341, 14543, 10839, 41175, 57304, 55897, 11741, 15966, 11615, 10976, 11236, 101, 39142, 102, 12138, 10220, 117, 119, 28920, 124, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko postane pripadnik organizovan e kriminalne grupe iz stava 3. ovog člana, kazniće se zatvorom od dve do deset godina. ",Član 375  ,Krivični zakonik
"frozenset({0, 11266, 12291, 16394, 10250, 19983, 79388, 21028, 30764, 15935, 20038, 13386, 10836, 10839, 10330, 15966, 101, 102, 10354, 117, 119, 122, 123, 124, 90749, 125, 126, 11396, 25225, 10378, 151, 17059, 163, 168, 170, 28848, 27828, 18101, 33979, 14543, 41175, 10976, 39142, 20213, 12021, 10999, 73986, 11017, 10532, 35123, 11575, 69948, 96074, 18772, 38753, 12138, 10112, 12161, 10128, 17298, 10131, 52630, 10135, 10136, 38811, 14242, 10149, 10150, 12714, 43948, 10167, 23479, 10687, 89537, 50118, 14791, 78799, 24562, 26620, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Učiniocu dela iz st. 1, 4. i 5. ovog člana koji otkrije dogovor, grupu ili organizovanu kriminalnu grupu pre nego što je u njenom sastavu ili za nju učinio krivično delo, odnosno učiniocu dela iz st. 2. i 3. ovog člana koji spreči izvršenje krivičnih dela iz stava 1. ovog člana, kazna se može ublažiti. ",Član 375  ,Krivični zakonik
"frozenset({0, 12161, 11266, 73986, 11017, 16394, 10378, 10250, 10128, 52630, 10135, 151, 79388, 13600, 10785, 14242, 21028, 10149, 168, 170, 12714, 30764, 10154, 10415, 16690, 18101, 33979, 75195, 23611, 10687, 89537, 10307, 20038, 27341, 14543, 10839, 41175, 57304, 55897, 64348, 15966, 33631, 10976, 35552, 23011, 11236, 101, 39142, 102, 12138, 117, 119, 28920, 10237})","Krivični zakonik | Organizovanje i podsticanje na izvršenje genocida i ratnih zločina | Ko poziva ili podstiče na izvršenje krivičnih dela iz čl. 370. do 374. ovog zakonika, kazniće se zatvorom od je dne do deset godina. ",Član 375  ,Krivični zakonik
"frozenset({0, 19457, 16394, 10251, 10763, 10261, 10785, 21028, 41005, 17966, 17454, 88116, 49718, 10307, 15440, 16471, 10839, 55897, 10330, 15966, 101, 102, 14952, 25196, 113, 15986, 114, 10354, 117, 119, 122, 123, 36476, 124, 11396, 25225, 30355, 10390, 42142, 19615, 158, 13473, 170, 20141, 10415, 18101, 33979, 28365, 27341, 25814, 12504, 39142, 81132, 28920, 11017, 58129, 90899, 33044, 28448, 10532, 28453, 91949, 16690, 39218, 17207, 12603, 25424, 64348, 11615, 82272, 32103, 12138, 35710, 10111, 10112, 12161, 15230, 73091, 10116, 10630, 93064, 10128, 17298, 10135, 49048, 38811, 10141, 10149, 41896, 10154, 10164, 20409, 10687, 17355, 10700, 10192, 11218, 57304, 10206, 49119, 11236, 23531, 24567, 10237, 12798})","Krivični zakonik | Upotreba nedozvoljenih sredstava borbe | (1) Ko za vreme rata ili oružanog sukoba naredi da se upotrebe borbena sredstva ili način borbe koji su zabranjeni pravilima međunarodnog prava ili ih sam upotrebi, kazniće se zatvorom od dve do deset godina. (2) Ako je usled dela iz stava 1. ovog člana p oginulo više lica, učinilac će se kazniti zatvorom najmanje pet godina ili doživotnim zatvorom. (3) Ko poziva na upotrebu ili priprema upotrebu oružja iz stava 1. ovog člana, kazniće se zatvorom od šest meseci do pet godina. ",Član 376  ,Krivični zakonik
"frozenset({0, 19457, 16394, 10251, 10785, 20515, 21028, 22068, 62011, 13373, 67645, 10307, 10839, 20056, 10329, 16471, 55897, 15966, 101, 102, 14952, 16491, 25196, 113, 15986, 10354, 114, 117, 119, 122, 123, 45180, 10378, 11407, 30355, 10390, 151, 30871, 11414, 48282, 67227, 155, 42142, 19615, 27295, 13473, 163, 93353, 170, 24746, 10421, 18101, 33979, 89290, 28365, 27341, 10456, 10459, 34015, 39142, 17639, 12021, 28920, 34048, 11017, 49418, 58129, 33044, 12054, 28448, 42786, 10532, 83754, 16690, 11061, 25424, 10579, 54119, 16234, 37741, 85363, 61301, 35710, 10112, 12161, 10116, 12164, 10128, 17298, 10132, 10135, 11162, 13211, 10141, 12704, 10149, 41896, 10154, 56241, 30145, 10700, 11218, 52690, 57304, 75739, 70108, 49119, 48099, 11236, 95204, 82919, 16381, 63986, 14323, 24567, 10237})","Krivični zakonik | Nedozvoljena proizvodnja, pro met i držanje oružja čija je upotreba zabranjena | (1) Ko protivno zakonu, drugim propisima ili pravilima međunarodnog prava proizvodi, kupuje, prodaje, uvozi, izvozi ili na drugi način nabavlja ili daje drugom, drži ili prevozi oružje čija je pro izvodnja ili upotreba zabranjena ili sredstava za njegovu proizvodnju, kazniće se zatvorom od jedne do osam godina. (2) Službeno ili odgovorno lice koje naredi ili omogući da pravno lice vrši delatnosti predviđene u stavu 1. ovog člana, kazniće se zatvoro m od dve do deset godina. ",Član 377  ,Krivični zakonik
"frozenset({0, 11266, 10243, 13828, 65541, 10247, 16394, 35339, 60940, 10251, 10253, 10258, 10261, 13853, 10785, 21028, 41005, 17454, 22068, 49718, 32316, 10307, 10311, 10317, 18513, 50772, 16471, 10839, 10329, 55897, 10330, 15966, 10335, 101, 16997, 102, 14952, 94315, 25196, 10352, 113, 114, 10354, 117, 14965, 119, 83577, 122, 123, 36476, 124, 125, 84609, 11396, 76421, 10373, 24200, 25225, 10378, 19081, 143, 10390, 151, 27287, 42142, 13473, 163, 170, 20141, 33979, 10434, 52932, 28364, 27341, 28365, 12504, 34015, 10976, 10978, 39142, 18671, 12021, 28920, 80636, 40188, 96512, 73986, 21764, 11017, 16656, 24852, 12574, 10532, 28453, 16690, 39218, 16180, 77622, 15160, 26937, 15695, 25424, 11615, 12138, 10607, 22899, 46456, 15230, 10111, 10112, 12161, 73091, 10630, 93064, 66952, 10128, 17298, 10132, 10135, 10136, 49048, 39322, 38811, 10141, 10149, 10150, 41896, 10154, 69553, 12217, 10687, 17355, 11729, 11218, 57304, 49119, 45536, 11236, 15333, 48108, 22001, 14323, 24567, 35321, 10237, 12798})","Krivični zakonik | Protivpravno ubijanje i ranjavanje neprijatelja | (1) Ko, kršeći pravila međunarodnog prava za vreme rata ili oružanog sukoba, ubije ili rani neprijatelja koji je odložio oruž je ili se bezuslovno predao ili nema sredstav a za odbranu, kazniće se zatvorom od jedne do petnaest godina. (2) Ako je ubistvo iz stava 1. ovog člana izvršeno na podmukao način ili iz niskih pobuda, učinilac će se kazniti zatvorom najmanje deset godina. (3) Ako je ubistvo iz stava 1. ovog člana izv ršeno na svirep način ili iz koristoljublja ili ako je ubijeno više lica, učinilac će se kazniti zatvorom najmanje deset godina ili doživotnim zatvorom. (4) Kaznom iz stava 3. ovog člana kazniće se i ko kršeći pravila međunarodnog prava za vreme rata ili oružanog sukoba naredi da u borbi ne sme biti preživelih pripadnika neprijatelja ili vodi borbu protiv neprijatelja na toj osnovi. ",Član 378  ,Krivični zakonik
"frozenset({0, 19457, 10243, 10247, 16394, 35339, 60940, 10261, 10785, 21028, 10281, 17454, 22068, 18490, 10307, 10839, 55897, 10329, 10330, 15966, 101, 102, 25196, 46703, 113, 114, 117, 119, 122, 123, 124, 10373, 25225, 10378, 41102, 67227, 13473, 93353, 170, 20141, 96429, 33979, 10428, 27341, 28365, 10459, 34015, 39142, 81132, 14572, 12021, 93942, 28920, 69378, 11017, 18723, 16690, 39218, 58677, 15695, 27487, 38753, 12138, 60271, 22899, 70014, 10112, 12161, 12674, 10116, 10629, 10630, 13704, 10123, 10128, 17298, 41364, 10135, 39322, 64411, 38811, 10141, 10149, 10154, 43948, 14794, 75220, 10197, 57304, 11236, 18924, 11259, 10237, 12798})","Krivični zakonik | Protivpravno oduzimanje stvari od ubijenih | (1) Ko naredi da se protivpravno oduzimaju stvari od ubijenih ili ranj enih na bojištu ili ko vrši takvo oduzimanje, kazniće se zatvorom od jedne do pet godina. (2) Ako je delo iz stava 1. ovog člana učinjeno na svirep način ili ako vrednost oduzetih stvari prelazi iznos od četristoped eset hiljada dinara, učinilac će se kazn iti zatvorom od jedne do osam godina. (3) Ako vrednost stvari iz stava 1. ovog člana prelazi iznos od milion dinara, učinilac će se kazniti zatvorom od dve do deset godina. ",Član 379,Krivični zakonik
"frozenset({0, 65541, 87558, 16394, 10250, 10251, 18457, 10777, 10785, 21028, 41005, 54327, 43575, 67645, 10307, 22096, 27729, 55897, 15966, 10335, 101, 102, 14952, 16491, 25196, 10352, 10354, 117, 119, 36476, 76421, 10375, 48782, 143, 18071, 67227, 42142, 13473, 168, 170, 20141, 10415, 28848, 18101, 37562, 33979, 28365, 27341, 14543, 49387, 68349, 11017, 10532, 28453, 16690, 61258, 30028, 25424, 12645, 32103, 10607, 10111, 12161, 12674, 93064, 10128, 10135, 10136, 10141, 10154, 11180, 14803, 57304, 10205, 49119, 11236, 23531, 16381, 24567, 10237})","Krivični zakonik | Povreda parlamentara | Ko kršeći pravila međunarodnog prava za vreme rat a ili oružanog sukoba vređa, zlostavlja ili zadrži parlamentara ili njegovu pratnju ili im spreči povratak ili na drugi način povredi njihovu neprikosnovenost ili naredi da se takva dela vrše, kazniće se zatvorom od šest meseci do pet godina. ",Član 380  ,Krivični zakonik
"frozenset({10112, 12161, 12674, 0, 12164, 65541, 23303, 10375, 11017, 16394, 10378, 10251, 10128, 151, 10136, 14618, 67227, 10141, 42142, 10399, 53022, 161, 28448, 13473, 21028, 10404, 74788, 10532, 10785, 170, 12842, 10154, 20141, 10415, 28848, 45106, 16690, 27828, 62260, 18101, 33979, 52284, 10307, 10698, 27341, 15695, 14543, 25424, 44373, 25814, 84823, 12504, 57304, 55897, 119, 10205, 15966, 10335, 11236, 101, 102, 32103, 10344, 14952, 26218, 23531, 12268, 25196, 11246, 10352, 117, 24567, 10237, 36479})","Krivični zakonik | Surovo postu panje s ranjenicima, bolesnicima i ratnim zarobljenicima | Ko, kršeći pravila međunarodnog prava, surovo postupa s ranjenicima, bolesnicima ili ratnim zarobljenicima ili onemogućava ili sprečava da koriste prava koja im po tim pravilima pripadaju ili naredi da se takva dela vrše, kazniće se zatvorom od šest meseci do pet godina. ",Član 381  ,Krivični zakonik
"frozenset({0, 12161, 73986, 73091, 12674, 65541, 93064, 11017, 16394, 35339, 10378, 10251, 60556, 10128, 42142, 13473, 60834, 10785, 21028, 10532, 28453, 17705, 170, 12714, 10154, 20141, 16690, 62260, 67637, 10552, 14138, 33979, 32316, 52284, 12346, 10307, 17355, 27341, 14543, 25424, 12241, 47954, 119, 57304, 55897, 15966, 10335, 10976, 49119, 37090, 11236, 101, 102, 32103, 14952, 21737, 26218, 23531, 12908, 25196, 10352, 10354, 117, 10358, 24567, 11259, 36476, 10237})","Krivični zakonik | Neopravdano odlaganje repatrijacije ratnih zarobljenika | Ko, kršeći pravila međunarodnog prava, posle završenog rata ili oružanog sukoba, neopravdano odlaže repatrijaciju ratnih zarobljenika ili civilnih lica ili naredi takvo odlaganje, kazniće se zatvorom od šest meseci do pet godina. ",Član 382  ,Krivični zakonik
"frozenset({92160, 0, 11266, 10243, 12805, 65541, 16394, 10251, 10261, 24600, 11290, 10785, 21028, 21031, 12329, 11820, 41005, 24110, 21551, 91184, 17454, 10307, 10827, 10839, 55897, 10329, 10330, 77404, 15966, 10335, 101, 102, 14952, 25196, 10352, 113, 114, 10354, 117, 119, 122, 123, 36476, 11396, 10375, 24200, 25225, 10378, 10380, 40085, 150, 36505, 67227, 42142, 13473, 170, 13995, 20141, 18101, 18614, 33979, 50876, 27341, 52946, 25814, 12504, 91866, 39142, 34549, 12541, 10499, 11017, 86281, 10532, 28453, 16690, 39218, 29495, 10552, 67392, 25424, 45395, 25941, 11094, 17240, 63332, 14190, 10607, 44916, 10111, 10112, 12161, 23425, 12674, 10630, 93064, 10128, 17298, 63895, 38811, 10141, 78755, 35749, 10149, 10150, 10154, 17355, 10702, 10192, 57304, 10206, 49119, 11236, 10220, 16381, 46581, 24567, 10237, 12798, 63487})","Krivični zakonik | Uništavanje kulturnih dob ara | (1) Ko, kršeći pravila međunarodnog prava za vreme rata ili oružanog sukoba, uništava kulturne ili istorijske spomenike ili druga kulturna dobra ili verske objekte ili ustanove ili objekte koji su namenjeni nauci, umetnosti, vaspitanju ili h umanitarnim ciljevima ili naredi da se takva dela vrše, kazniće se zatvorom od tri do petnaest godina. (2) Ako je radnjom iz stava 1. ovog člana uništen objekat koji je kao kulturno dobro pod posebnom zaštitom međunarodnog prava, učinilac će se kazniti za tvorom od pet do petnaest godina. ",Član 383  ,Krivični zakonik
"frozenset({0, 79366, 16394, 35850, 10763, 82446, 60443, 10785, 21028, 10281, 22068, 10295, 23611, 14911, 10317, 15440, 10839, 15966, 101, 102, 10352, 10354, 34420, 117, 119, 33410, 66182, 10378, 151, 67227, 77985, 19625, 170, 26795, 31919, 28848, 18101, 10421, 75446, 50873, 33979, 31939, 16586, 47320, 10459, 10976, 35552, 39142, 33518, 82168, 73986, 11017, 17164, 13584, 24852, 66332, 53022, 13600, 91949, 35632, 68913, 31546, 88893, 49982, 25424, 18772, 25941, 11615, 33631, 38753, 12138, 29551, 10111, 10112, 12161, 10114, 10115, 30083, 16780, 10128, 17298, 52630, 45976, 26008, 11162, 13211, 10141, 10149, 10150, 12714, 10154, 57772, 10167, 73147, 30140, 10688, 12225, 10698, 10192, 14802, 34771, 57304, 10202, 11236, 26088, 63986, 14323, 10237})","Krivični zakonik | Nesprečavanje vršenja krivičnih dela protiv čovečnosti i drugih dobara zaštićenih međunarodnim pravom | Vojni zapovednik ili lice koje faktički vrši ovu funkciju, koje znajući da snage kojima komanduje ili ko je kontroliše pripremaju ili su započele vršenje krivičnog dela iz čl. 370. do 374, člana 376, čl. 378. do 381. i člana 383. ovog zakonika ne preduzme mere koje je mogao i bio dužan da preduzme za sprečavanje izvršenja dela, pa usled toga dođe do izvršenja tog dela, kazniće se kaznom propisanom za to krivično delo. ",Član 384  ,Krivični zakonik
"frozenset({0, 16394, 35850, 10763, 82446, 10785, 21028, 24100, 10281, 12842, 14381, 22068, 10295, 23611, 14911, 96324, 10317, 15440, 10839, 20056, 15966, 101, 102, 16491, 10354, 34420, 117, 119, 33410, 11396, 66182, 10378, 143, 145, 151, 154, 67227, 77985, 163, 36007, 19625, 170, 26795, 52910, 31919, 28848, 18101, 50873, 33979, 31939, 16586, 10976, 35552, 39142, 33518, 73986, 11017, 17164, 13584, 24852, 53022, 91949, 35632, 31546, 33090, 25424, 18772, 25941, 11615, 33631, 38753, 12138, 29551, 51055, 10112, 12161, 10114, 73091, 10116, 10115, 30083, 16780, 10125, 10128, 17298, 52630, 26008, 13211, 10141, 10149, 10150, 12714, 10154, 57772, 30140, 10688, 12225, 10698, 10192, 14802, 12245, 57304, 10202, 10205, 23518, 26088, 63986, 14323, 10237})","Krivični zakonik | Nesprečavanje vršenja krivičnih dela protiv čovečnosti i drugih dobara zaštićenih međunarodnim pravom | Drugi pretpostavljeni koji, znajući da lica koja su mu potčinjena, pripremaju ili su započela vršenje krivičnih dela iz č l. 370. do 374, člana 376, čl. 378. do 381. i člana 383. ovog zakonik a, u vršenju poslova u kojima im je on pretpostavljeni, ne preduzme mere koje je mogao i bio dužan da preduzme za sprečavanje izvršenja dela, pa usled toga dođe do izvršenja tog dela, kazniće se kaznom propisanom za to krivično delo. ",Član 384  ,Krivični zakonik
